prot_barcode,bar_width,bar_height,number_cycles,flash_duration,bar_intensity_A,bar_intensity_B,ca
1,4.5,4.5,1,0.001,0,0.5,0.0609199231817
2,4.5,4.5,1,0.002,0,0.5,0.175266550147922
3,4.5,4.5,1,0.003,0,0.5,0.319440513015238
4,4.5,4.5,1,0.004,0,0.5,0.468904945737441
5,4.5,4.5,1,0.006,0,0.5,0.745999425404835
6,4.5,4.5,1,0.009,0,0.5,1.0989991855508
7,4.5,4.5,1,0.013,0,0.5,1.44629725503774
8,4.5,4.5,1,0.018,0,0.5,1.65155297079819
9,4.5,4.5,1,0.026,0,0.5,1.73576253641816
10,4.5,4.5,1,0.038,0,0.5,1.40672176166387
11,4.5,4.5,1,0.055,0,0.5,0.68884738353875
12,4.5,4.5,1,0.078,0,0.5,0.182729236508274
13,4.5,4.5,1,0.113,0,0.5,0.126866473339917
14,4.5,4.5,1,0.162,0,0.5,0.104787252304374
15,4.5,4.5,1,0.234,0,0.5,0.104787252304374
16,4.5,4.5,1,0.336,0,0.5,0.104787252304374
17,4.5,4.5,1,0.483,0,0.5,0.104787252304374
18,4.5,4.5,1,0.695,0,0.5,0.104787252304374
19,4.5,4.5,1,1,0,0.5,0.104787252304374
